Token file dump for '/aramis/Data/Source/Mondial/tokens'
Generated on 2002-12-15 12:24:29.068

tokenCount    = 12126
instanceCount = 588662
(' ', count=307308, hclen=1)
('198', count=35, hclen=14)
('1984', count=35, hclen=14)
('1992', count=35, hclen=14)
('592', count=35, hclen=14)
('61', count=35, hclen=14)
('728', count=35, hclen=14)
('82', count=35, hclen=14)
('lake', count=35, hclen=14)
('1161', count=34, hclen=14)
('129', count=34, hclen=14)
('1810', count=34, hclen=14)
('1962', count=34, hclen=14)
('842', count=34, hclen=14)
('El', count=34, hclen=14)
('1253', count=33, hclen=14)
('1975', count=33, hclen=14)
('315', count=33, hclen=14)
('54', count=33, hclen=14)
('815', count=33, hclen=14)
('947', count=33, hclen=14)
('democracy', count=33, hclen=14)
('1770', count=32, hclen=14)
('1870', count=32, hclen=14)
('1907', count=32, hclen=14)
('1951', count=32, hclen=14)
('1979', count=32, hclen=14)
('1141', count=31, hclen=14)
('1801', count=31, hclen=14)
('1855', count=31, hclen=14)
('1865', count=31, hclen=14)
('1910', count=31, hclen=14)
('1933', count=31, hclen=14)
('1937', count=31, hclen=14)
('1967', count=31, hclen=14)
('1968', count=31, hclen=14)
('1985', count=31, hclen=14)
('1994', count=31, hclen=14)
('200', count=31, hclen=14)
('800', count=31, hclen=14)
('La', count=31, hclen=14)
('1369', count=30, hclen=14)
('1805', count=30, hclen=14)
('1830', count=30, hclen=14)
('1973', count=30, hclen=14)
('1999', count=30, hclen=14)
('456', count=30, hclen=14)
('500', count=30, hclen=14)
('57', count=30, hclen=14)
('66', count=30, hclen=14)
('932', count=30, hclen=14)
('<DESERT', count=30, hclen=14)
('Indian', count=30, hclen=14)
('Nations', count=30, hclen=14)
('Santa', count=30, hclen=14)
('1809', count=29, hclen=14)
('1849', count=29, hclen=14)
('1858', count=29, hclen=14)
('1864', count=29, hclen=14)
('1866', count=29, hclen=14)
('1867', count=29, hclen=14)
('1869', count=29, hclen=14)
('1958', count=29, hclen=14)
('1961', count=29, hclen=14)
('1964', count=29, hclen=14)
('3820', count=29, hclen=14)
('451', count=29, hclen=14)
('79', count=29, hclen=14)
('1796', count=28, hclen=14)
('1800', count=28, hclen=14)
('1860', count=28, hclen=14)
('1949', count=28, hclen=14)
('1959', count=28, hclen=14)
('1972', count=28, hclen=14)
('1997', count=28, hclen=14)
('2000', count=28, hclen=14)
('2001', count=28, hclen=14)
('400', count=28, hclen=14)
('Organization', count=28, hclen=14)
('constitutional', count=28, hclen=14)
('for', count=28, hclen=14)
('monarchy', count=28, hclen=14)
('1062', count=27, hclen=14)
('1753', count=27, hclen=14)
('1802', count=27, hclen=14)
('1812', count=27, hclen=14)
('1827', count=27, hclen=14)
('1829', count=27, hclen=14)
('1868', count=27, hclen=14)
('1904', count=27, hclen=14)
('1905', count=27, hclen=14)
('1906', count=27, hclen=14)
('1971', count=27, hclen=14)
('600', count=27, hclen=14)
('Arab', count=27, hclen=14)
('Islands', count=27, hclen=14)
('parliamentary', count=27, hclen=14)
('169', count=26, hclen=14)
('1774', count=26, hclen=14)
('1834', count=26, hclen=14)
('1875', count=26, hclen=14)
('1908', count=26, hclen=14)
('1944', count=26, hclen=14)
('1955', count=26, hclen=14)
('1963', count=26, hclen=14)
('1966', count=26, hclen=14)
('1980', count=26, hclen=14)
('1986', count=26, hclen=14)
('1993', count=26, hclen=14)
('900', count=26, hclen=14)
('Chinese', count=26, hclen=14)
('Russian', count=26, hclen=14)
('Saint', count=26, hclen=14)
('(', count=25, hclen=14)
(')', count=25, hclen=14)
('0000', count=25, hclen=14)
('1052', count=25, hclen=14)
('1752', count=25, hclen=14)
('1815', count=25, hclen=14)
('1859', count=25, hclen=14)
('1909', count=25, hclen=14)
('1946', count=25, hclen=14)
('1965', count=25, hclen=14)
('1977', count=25, hclen=14)
('2003', count=25, hclen=14)
('3816', count=25, hclen=14)
('Island', count=25, hclen=14)
('munic', count=25, hclen=14)
('1771', count=24, hclen=15)
('1793', count=24, hclen=15)
('1831', count=24, hclen=15)
('1835', count=24, hclen=15)
('1840', count=24, hclen=15)
('1852', count=24, hclen=15)
('1854', count=24, hclen=15)
('1872', count=24, hclen=15)
('1880', count=24, hclen=15)
('1945', count=24, hclen=15)
('1956', count=24, hclen=15)
('1981', count=24, hclen=15)
('1989', count=24, hclen=15)
('1998', count=24, hclen=15)
('2004', count=24, hclen=15)
('International', count=24, hclen=15)
('in', count=24, hclen=15)
('1792', count=23, hclen=15)
('1821', count=23, hclen=15)
('1832', count=23, hclen=15)
('1851', count=23, hclen=15)
('1853', count=23, hclen=15)
('1903', count=23, hclen=15)
('1978', count=23, hclen=15)
('1990', count=23, hclen=15)
('2009', count=23, hclen=15)
('285', count=23, hclen=15)
('320', count=23, hclen=15)
('Economic', count=23, hclen=15)
('South', count=23, hclen=15)
('1100', count=22, hclen=15)
('1804', count=22, hclen=15)
('1806', count=22, hclen=15)
('1828', count=22, hclen=15)
('1857', count=22, hclen=15)
('1873', count=22, hclen=15)
('365', count=22, hclen=15)
('3802', count=22, hclen=15)
('<SEA', count=22, hclen=15)
('@depth', count=22, hclen=15)
('Development', count=22, hclen=15)
('Orthodox', count=22, hclen=15)
('1200', count=21, hclen=15)
('1797', count=21, hclen=15)
('1822', count=21, hclen=15)
('1833', count=21, hclen=15)
('1850', count=21, hclen=15)
('1876', count=21, hclen=15)
('1947', count=21, hclen=15)
('1950', count=21, hclen=15)
('1957', count=21, hclen=15)
('1982', count=21, hclen=15)
('1988', count=21, hclen=15)
('2002', count=21, hclen=15)
('Group', count=21, hclen=15)
('New', count=21, hclen=15)
('territory', count=21, hclen=15)
('1022', count=20, hclen=15)
('1077', count=20, hclen=15)
('1560', count=20, hclen=15)
('1788', count=20, hclen=15)
('1799', count=20, hclen=15)
('1808', count=20, hclen=15)
('1820', count=20, hclen=15)
('1863', count=20, hclen=15)
('1878', count=20, hclen=15)
('1948', count=20, hclen=15)
('3859', count=20, hclen=15)
('City', count=20, hclen=15)
('English', count=20, hclen=15)
('Rep', count=20, hclen=15)
('1787', count=19, hclen=15)
('1862', count=19, hclen=15)
('1874', count=19, hclen=15)
('1935', count=19, hclen=15)
('1954', count=19, hclen=15)
('3804', count=19, hclen=15)
('5628', count=19, hclen=15)
('French', count=19, hclen=15)
('North', count=19, hclen=15)
('Sao', count=19, hclen=15)
('Sea', count=19, hclen=15)
('1300', count=18, hclen=15)
('1510', count=18, hclen=15)
('1746', count=18, hclen=15)
('1779', count=18, hclen=15)
('1780', count=18, hclen=15)
('1795', count=18, hclen=15)
('1814', count=18, hclen=15)
('1913', count=18, hclen=15)
('1914', count=18, hclen=15)
('1953', count=18, hclen=15)
('1987', count=18, hclen=15)
('1996', count=18, hclen=15)
('Rio', count=18, hclen=15)
('1070', count=17, hclen=15)
('1140', count=17, hclen=15)
('1477', count=17, hclen=15)
('1750', count=17, hclen=15)
('1755', count=17, hclen=15)
('1773', count=17, hclen=15)
('1794', count=17, hclen=15)
('3833', count=17, hclen=15)
('Jewish', count=17, hclen=15)
('1092', count=16, hclen=15)
('121', count=16, hclen=15)
('1748', count=16, hclen=15)
('1751', count=16, hclen=15)
('1782', count=16, hclen=15)
('1798', count=16, hclen=15)
('1817', count=16, hclen=15)
('1842', count=16, hclen=15)
('1856', count=16, hclen=15)
('1871', count=16, hclen=15)
('1877', count=16, hclen=15)
('1983', count=16, hclen=15)
('2005', count=16, hclen=15)
('3000', count=16, hclen=15)
('3826', count=16, hclen=15)
('Central', count=16, hclen=15)
('G', count=16, hclen=15)
('1007', count=15, hclen=15)
('1027', count=15, hclen=15)
('1080', count=15, hclen=15)
('1110', count=15, hclen=15)
('1146', count=15, hclen=15)
('1360', count=15, hclen=15)
('1747', count=15, hclen=15)
('1760', count=15, hclen=15)
('1763', count=15, hclen=15)
('1768', count=15, hclen=15)
('1775', count=15, hclen=15)
('1776', count=15, hclen=15)
('1789', count=15, hclen=15)
('1816', count=15, hclen=15)
('1819', count=15, hclen=15)
('1824', count=15, hclen=15)
('1838', count=15, hclen=15)
('1841', count=15, hclen=15)
('1934', count=15, hclen=15)
('3900', count=15, hclen=15)
('Anglican', count=15, hclen=15)
('Bank', count=15, hclen=15)
('East', count=15, hclen=15)
('West', count=15, hclen=15)
('1090', count=14, hclen=15)
('1150', count=14, hclen=15)
('1167', count=14, hclen=15)
('144', count=14, hclen=15)
('1500', count=14, hclen=15)
('1583', count=14, hclen=15)
('1600', count=14, hclen=15)
('1690', count=14, hclen=15)
('1761', count=14, hclen=15)
('1764', count=14, hclen=15)
('1769', count=14, hclen=15)
('1772', count=14, hclen=15)
('1778', count=14, hclen=15)
('1784', count=14, hclen=15)
('1786', count=14, hclen=15)
('1790', count=14, hclen=15)
('1791', count=14, hclen=15)
('1818', count=14, hclen=15)
('1861', count=14, hclen=15)
('1936', count=14, hclen=15)
('2167', count=14, hclen=15)
('4833', count=14, hclen=15)
('German', count=14, hclen=15)
('102', count=13, hclen=15)
('1050', count=13, hclen=15)
('1107', count=13, hclen=15)
('1117', count=13, hclen=15)
('1650', count=13, hclen=15)
('1700', count=13, hclen=15)
('1745', count=13, hclen=15)
('1749', count=13, hclen=15)
('1762', count=13, hclen=15)
('1813', count=13, hclen=15)
('1825', count=13, hclen=15)
('1826', count=13, hclen=15)
('1900', count=13, hclen=15)
('244', count=13, hclen=15)
('3333', count=13, hclen=15)
('4167', count=13, hclen=15)
('5833', count=13, hclen=15)
('740', count=13, hclen=15)
('9333', count=13, hclen=15)
('Asian', count=13, hclen=15)
('France', count=13, hclen=15)
('Hindu', count=13, hclen=15)
('Port', count=13, hclen=15)
('Sunni', count=13, hclen=15)
('UK', count=13, hclen=15)
('do', count=13, hclen=15)
('1010', count=12, hclen=16)
('1017', count=12, hclen=16)
('1037', count=12, hclen=16)
('104', count=12, hclen=16)
('1082', count=12, hclen=16)
('117', count=12, hclen=16)
('1173', count=12, hclen=16)
('1190', count=12, hclen=16)
('1230', count=12, hclen=16)
('1250', count=12, hclen=16)
('1290', count=12, hclen=16)
('1333', count=12, hclen=16)
('1467', count=12, hclen=16)
('1544', count=12, hclen=16)
('1598', count=12, hclen=16)
('1676', count=12, hclen=16)
('1765', count=12, hclen=16)
('1766', count=12, hclen=16)
('1777', count=12, hclen=16)
('1836', count=12, hclen=16)
('1837', count=12, hclen=16)
('1920', count=12, hclen=16)
('2500', count=12, hclen=16)
('7333', count=12, hclen=16)
('Armenian', count=12, hclen=16)
('Cooperation', count=12, hclen=16)
('Council', count=12, hclen=16)
('Eastern', count=12, hclen=16)
('Mt', count=12, hclen=16)
('Western', count=12, hclen=16)
('del', count=12, hclen=16)
('el', count=12, hclen=16)
('1035', count=11, hclen=16)
('1040', count=11, hclen=16)
('1097', count=11, hclen=16)
('1142', count=11, hclen=16)
('1183', count=11, hclen=16)
('1197', count=11, hclen=16)
('1260', count=11, hclen=16)
('1320', count=11, hclen=16)
('1380', count=11, hclen=16)
('1520', count=11, hclen=16)
('1614', count=11, hclen=16)
('1620', count=11, hclen=16)
('1622', count=11, hclen=16)
('1715', count=11, hclen=16)
('1744', count=11, hclen=16)
('1767', count=11, hclen=16)
